What is the name of your group?,How many new RSEs positions have been added to your group in the last two years?
University of Reading,0.0
Lancaster University,0.0
University of Oxford,0.0
"Digital Humanities Group, Lancaster",0.0
"Research Software Group, St. Andrews",0.0
University of Sheffield,0.0
QMUL,0.0
"Soft Matter and Biophysics, Strathclyde",1.0
Swansea Academy of Advanced Computing,1.0
MVLS University of Glasgow,1.0
King's Digital Lab,1.0
University of Bristol,2.0
University of Warwick,2.0
University of Bath,2.0
"Research IT, Bristol",2.0
University of Leeds,2.0
"SWC/GCNU Neuroinformatics Unit, UCL",3.0
University of Southampton,3.0
Kings College London,4.0
University of York,4.0
"Castep Development, York",4.0
University of Nottingham,4.0
University of Birmingham,5.0
Imperial College London,5.0
University of Manchester,6.0
UKAEA,6.0
Newcastle University,6.0
QUB,7.0
University of Liverpool,8.0
University of Exeter,10.0
University of Cambridge,14.0
Roslin Franklin Institute,15.0
Alan Turing Institute,17.0
UCL,18.0
"EPCC, Edinburgh",20.0
