Timestamp,q18,q18_binned
12/12/2022 10:32:07,0,[0-20%]
12/12/2022 10:42:05,80,(60-80%]
12/12/2022 11:04:31,0,[0-20%]
12/12/2022 11:05:56,70,(60-80%]
12/12/2022 12:55:10,100,(80-100%]
12/12/2022 13:23:06,70,(60-80%]
12/12/2022 14:40:00,90,(80-100%]
12/12/2022 14:41:26,0,[0-20%]
12/12/2022 15:30:58,0,[0-20%]
12/12/2022 21:30:13,0,[0-20%]
14/12/2022 10:57:02,0,[0-20%]
16/12/2022 10:23:50,80,(60-80%]
03/01/2023 09:23:38,80,(60-80%]
06/01/2023 13:09:05,100,(80-100%]
06/01/2023 14:43:18,0,[0-20%]
09/01/2023 08:35:40,15,[0-20%]
09/01/2023 14:17:17,100,(80-100%]
09/01/2023 20:42:27,40,(20-40%]
10/01/2023 09:27:32,60,(40-60%]
10/01/2023 09:27:57,0,[0-20%]
10/01/2023 10:10:15,100,(80-100%]
10/01/2023 11:17:33,60,(40-60%]
10/01/2023 11:48:09,70,(60-80%]
11/01/2023 16:41:16,80,(60-80%]
12/01/2023 13:00:07,100,(80-100%]
13/01/2023 10:07:36,0,[0-20%]
13/01/2023 10:40:36,100,(80-100%]
13/01/2023 13:35:29,0,[0-20%]
13/01/2023 18:58:20,0,[0-20%]
18/01/2023 14:48:02,100,(80-100%]
19/01/2023 16:02:14,60,(40-60%]
