,count
Head of RSE,7
Director,3
Head of Research Software Engineering,3
Research Software Engineer,3
Team Lead,1
I am the academic director of the facility in which the RSE group is hosted,1
Principal Architect (i.e. Senior RSE),1
Sole Member / Lead,1
Group Leader,1
RSE team leader,1
Manage the Research It Team,1
Head of Research IT ( we have an RSE Team lead who sits below Head of),1
? Trying to restart it,1
Senior Research Software Analyst & Deputy Director,1
Senior Research Software Engineer,1
Leader,1
Research Software Engineering Group Leader,1
Co-Leads,1
Team Leader,1
Head/Director of RSE,1
Co-founder,1
Group leader,1
Head Research Engineer,1
Team Manager,1
