What is the name of your group?,In what year was your group founded?
"EPCC, Edinburgh",1990.0
"Digital Humanities Group, Lancaster",1994.0
UCL,2012.0
University of Nottingham,2012.0
University of Cambridge,2013.0
"Research IT, Bristol",2014.0
University of Manchester,2014.0
University of Southampton,2015.0
King's Digital Lab,2015.0
Alan Turing Institute,2016.0
University of Bristol,2016.0
University of Warwick,2016.0
University of Sheffield,2016.0
"Soft Matter and Biophysics, Strathclyde",2017.0
Swansea Academy of Advanced Computing,2017.0
University of Birmingham,2017.0
Imperial College London,2017.0
University of Bath,2017.0
"Castep Development, York",2018.0
Newcastle University,2018.0
UKAEA,2019.0
"Research Software Group, St. Andrews",2019.0
University of Leeds,2019.0
University of Oxford,2019.0
Roslin Franklin Institute,2020.0
Lancaster University,2021.0
University of Reading,2021.0
QUB,2021.0
University of Exeter,2021.0
University of Liverpool,2022.0
Kings College London,2022.0
"SWC/GCNU Neuroinformatics Unit, UCL",2022.0
MVLS University of Glasgow,2022.0
University of York,2022.0
