What is the name of your group?,How many people were in your group when it started?
MVLS University of Glasgow,0.0
University of Southampton,0.5
Imperial College London,1.0
Lancaster University,1.0
"SWC/GCNU Neuroinformatics Unit, UCL",1.0
Kings College London,1.0
"Soft Matter and Biophysics, Strathclyde",1.0
"Digital Humanities Group, Lancaster",1.0
University of Warwick,1.0
University of Bath,1.0
University of York,2.0
University of Bristol,2.0
University of Reading,2.0
Roslin Franklin Institute,2.0
UKAEA,2.0
Newcastle University,2.0
QUB,2.0
"Castep Development, York",2.0
UCL,3.0
University of Oxford,3.0
University of Birmingham,3.0
University of Exeter,3.0
Alan Turing Institute,3.0
University of Liverpool,4.0
University of Sheffield,4.0
University of Leeds,4.0
University of Nottingham,5.0
University of Cambridge,6.0
University of Manchester,6.0
Swansea Academy of Advanced Computing,6.0
"Research IT, Bristol",7.0
King's Digital Lab,9.0
"EPCC, Edinburgh",10.0
