What is the name of your group?,How many people are currently in your group in total?
Lancaster University,1.0
Kings College London,1.0
MVLS University of Glasgow,1.0
University of Reading,2.0
"Digital Humanities Group, Lancaster",2.0
Swansea Academy of Advanced Computing,3.0
"SWC/GCNU Neuroinformatics Unit, UCL",4.0
University of Bath,4.0
"Soft Matter and Biophysics, Strathclyde",4.0
QMUL,4.0
QUB,4.0
University of Liverpool,5.0
"Castep Development, York",5.0
University of Leeds,5.0
University of Oxford,5.0
University of York,5.0
University of Warwick,6.0
"Research IT, Bristol",7.0
Imperial College London,8.0
University of Cambridge,10.0
University of Southampton,10.0
University of Bristol,10.0
University of Sheffield,12.0
King's Digital Lab,13.0
University of Exeter,13.0
University of Birmingham,14.0
"Research Software Group, St. Andrews",17.0
Roslin Franklin Institute,18.0
UKAEA,18.0
Newcastle University,20.0
University of Nottingham,29.0
UCL,40.0
University of Manchester,40.0
Alan Turing Institute,44.0
"EPCC, Edinburgh",106.0
